date,price,long,model,actions
2019-12-30,1336.140015,1227540.025153551,1254861.8285649328,8
2019-12-31,1337.02002,1213238.7468086788,1240242.2414826967,8
2020-01-02,1367.369995,1214037.8069007345,1241059.0865449382,8
2020-01-03,1360.660034,1241596.1205664433,1269230.7755897753,8
2020-01-06,1394.209961,1235503.3573953807,1263002.4035797494,8
2020-01-07,1393.339966,1265967.28402885,1294144.3768736643,8
2020-01-08,1404.319946,1265177.313193698,1293336.8233712127,8
2020-01-09,1419.829956,1275147.3290794839,1303528.7455154166,8
2020-01-10,1429.72998,1289230.692263087,1317925.5672196292,8
2020-01-13,1439.22998,1298220.0890151453,1327115.0442345007,8
2020-01-14,1430.880005,1306846.256905703,1335933.207871405,8
2020-01-15,1439.199951,1299264.332039181,1328182.5293541355,8
2020-01-16,1451.699951,1306818.9900430099,1335905.3341202624,8
2020-01-17,1480.390015,1318169.2109516386,1347508.181010926,8
2020-01-21,1484.400024,1344220.2960942541,1374139.0946009525,8
2020-01-22,1485.949951,1347861.4551339014,1377861.2962375272,8
2020-01-23,1486.650024,1349268.8162412813,1379299.9814913436,8
2020-01-24,1466.709961,1349904.4948974545,1379949.8086778466,8
2020-01-27,1433.900024,1331798.5652988965,1361440.888839512,8
